record_id,source_sheet,source_row,numbers_fighter_id,fighter_name,matched_fighter_id,candidate_fighter_id,division,promotion_raw,promotion_id,event_number_raw,event_number_normalized,bout_format,opponent_name,opponent_numbers_fighter_id,opponent_matched_fighter_id,opponent_candidate_fighter_id,result_mark,result,detail_raw
numbers_record_0013,個人成績,14,numbers_fighter_002,ぱいそんはやし,python_hayashi,python_hayashi,,MH,mh,40.0,40,ワンマッチ,オーシューワイルド,numbers_fighter_004,fighter_5f53eea569,fighter_5f53eea569,⚫︎,loss,3R 1:10 KO(左フック→ジャンピングパウンド)
numbers_record_0014,個人成績,15,numbers_fighter_003,ローリングJr,,jr,ライト,MAXバウト,max_bout,第6回 1回戦B,第6回 1回戦B,トーナメント,ランダーデビル,numbers_fighter_019,lander_devil,lander_devil,⚫︎,loss,"3R 2:54 リアネイキッドチョーク
一回戦敗退"
numbers_record_0015,個人成績,16,numbers_fighter_003,ローリングJr,,jr,ライト,MH,mh,28.0,28,ワンマッチ,くわしお,numbers_fighter_021,kuwashio,kuwashio,⚫︎,loss,2R 2:05 ギロチンチョーク
numbers_record_0016,個人成績,17,numbers_fighter_003,ローリングJr,,jr,ライト,MH,mh,29.0,29,ワンマッチ,かわかみ,numbers_fighter_027,kawakami,kawakami,⚪︎,win,1R 1:23 ギロチンチョーク
numbers_record_0017,個人成績,18,numbers_fighter_003,ローリングJr,,jr,ライト,MH,mh,30.0,30,ワンマッチ,バンドルフ・ガルブンタ,numbers_fighter_029,fighter_6cc24375aa,fighter_6cc24375aa,⚪︎,win,1R 2:05 KO(膝蹴り)
numbers_record_0018,個人成績,19,numbers_fighter_003,ローリングJr,,jr,ライト,MH,mh,31.0,31,ワンマッチ,ジョン・バレー,numbers_fighter_035,fighter_eddb8db316,fighter_eddb8db316,⚪︎,win,1R 1:47 ギロチンチョーク
numbers_record_0019,個人成績,20,numbers_fighter_003,ローリングJr,,jr,ライト,MH,mh,33.0,33,ワンマッチ,ダブド・ガブリシャン,numbers_fighter_023,fighter_25fddbaacc,fighter_25fddbaacc,⚪︎,win,1R 1:31 ギロチンチョーク
numbers_record_0020,個人成績,21,numbers_fighter_003,ローリングJr,,jr,ライト,MAXバウト,max_bout,第7回 1回戦B,第7回 1回戦B,トーナメント,わく,numbers_fighter_082,waku,waku,⚪︎,win,"1R 2:17 KO(左ハイ→パウンド)
二回戦進出"
numbers_record_0021,個人成績,22,numbers_fighter_003,ローリングJr,,jr,ライト,MAXバウト,max_bout,第7回 2回戦B,第7回 2回戦B,トーナメント,ダブド・ガブリシャン,numbers_fighter_023,fighter_25fddbaacc,fighter_25fddbaacc,⚫︎,loss,"1R 3:29 KO(パウンド連打)
二回戦敗退
試合後ダブド・ガブリシャンへ注意１"
numbers_record_0022,個人成績,23,numbers_fighter_003,ローリングJr,,jr,ミドル,MH,mh,38.0,38,ワンマッチ,ぱいそんはやし,numbers_fighter_002,python_hayashi,python_hayashi,⚫︎,loss,"3R 判定0-3
ミドル級転向初戦"
numbers_record_0023,個人成績,24,numbers_fighter_003,ローリングJr,,jr,ミドル,MH,mh,40.0,40,ワンマッチ,トワックデビル,numbers_fighter_009,,トワックデビル,⚫︎,loss,2R 1:42 トライアングルチョーク
numbers_record_0024,個人成績,25,numbers_fighter_004,オーシューワイルド,fighter_5f53eea569,fighter_5f53eea569,ミドル,MH,mh,36.0,36,ワンマッチ,ヘル・ラッサー,numbers_fighter_010,fighter_8d86ebfe6f,fighter_8d86ebfe6f,⚪︎,win,"1R 3:54 KO(左フック→パウンド)
メジャーデビュー戦"
numbers_record_0025,個人成績,26,numbers_fighter_004,オーシューワイルド,fighter_5f53eea569,fighter_5f53eea569,,MH,mh,37.0,37,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚪︎,win,3R 2:55 KO(左アッパー→パウンド)
numbers_record_0026,個人成績,27,numbers_fighter_004,オーシューワイルド,fighter_5f53eea569,fighter_5f53eea569,,MH,mh,38.0,38,ワンマッチ,ラドフ,numbers_fighter_007,fighter_169d4ecfe8,fighter_169d4ecfe8,⚫︎,loss,1R 1:45 KO(左フック)
numbers_record_0027,個人成績,28,numbers_fighter_004,オーシューワイルド,fighter_5f53eea569,fighter_5f53eea569,,MH,mh,40.0,40,ワンマッチ,ぱいそんはやし,numbers_fighter_002,python_hayashi,python_hayashi,⚪︎,win,3R 1:10 KO(左フック→ジャンピングパウンド)
numbers_record_0028,個人成績,29,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,ミドル,MH,mh,27.0,27,タイトル,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,"1R 2:12 フロントネックロック
メジャーデビュー戦"
numbers_record_0029,個人成績,30,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,,MH,mh,34.0,34,ワンマッチ,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚪︎,win,3R 判定2-1
numbers_record_0030,個人成績,31,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,,MAXバウト,max_bout,SP,SP,ワンマッチ,ダイス・ヴォルケード,numbers_fighter_042,fighter_5d7998006d,fighter_5d7998006d,⚫︎,loss,1R 1:13 KO(左ストレート)
numbers_record_0031,個人成績,32,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,,MH,mh,37.0,37,ワンマッチ,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚫︎,loss,3R 5:00 ギロチンチョーク
numbers_record_0032,個人成績,33,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,,MH,mh,39.0,39,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚪︎,win,1R 1:02 KO(左ストレート→パウンド)
numbers_record_0033,個人成績,34,numbers_fighter_005,ライン・デュオ,fighter_392d495da8,fighter_392d495da8,,MH,mh,40.0,40,ワンマッチ,ジャニマード・トスパチ,numbers_fighter_006,fighter_41a3b1ba33,fighter_41a3b1ba33,⚪︎,win,1R 1:16 KO(三日月蹴り)
numbers_record_0034,個人成績,35,numbers_fighter_006,ジャニマード・トスパチ,fighter_41a3b1ba33,fighter_41a3b1ba33,ミドル,MH,mh,39.0,39,ワンマッチ,ぱいそんはやし,numbers_fighter_002,python_hayashi,python_hayashi,⚪︎,win,"2R 1:05 KO(左フック→パウンド)
メジャーデビュー戦"
numbers_record_0035,個人成績,36,numbers_fighter_006,ジャニマード・トスパチ,fighter_41a3b1ba33,fighter_41a3b1ba33,,MH,mh,40.0,40,ワンマッチ,ライン・デュオ,numbers_fighter_005,fighter_392d495da8,fighter_392d495da8,⚫︎,loss,1R 1:16 KO(三日月蹴り)
numbers_record_0036,個人成績,37,numbers_fighter_007,ラドフ,fighter_169d4ecfe8,fighter_169d4ecfe8,ミドル,MH,mh,36.0,36,ワンマッチ,シェーン・ロブソン,numbers_fighter_014,fighter_24e2dfb4f3,fighter_24e2dfb4f3,⚪︎,win,"1R 1:20 KO(左フック)
メジャーデビュー戦"
numbers_record_0037,個人成績,38,numbers_fighter_007,ラドフ,fighter_169d4ecfe8,fighter_169d4ecfe8,,MH,mh,37.0,37,ワンマッチ,トワックデビル,numbers_fighter_009,,トワックデビル,⚪︎,win,1R 2:22 KO(左ボディ→パウンド)
numbers_record_0038,個人成績,39,numbers_fighter_007,ラドフ,fighter_169d4ecfe8,fighter_169d4ecfe8,,MH,mh,38.0,38,ワンマッチ,オーシューワイルド,numbers_fighter_004,fighter_5f53eea569,fighter_5f53eea569,⚪︎,win,1R 1:45 KO(左フック)
numbers_record_0039,個人成績,40,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,ミドル,MH,mh,22.0,22,タイトル,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,1R KO(エルボー)
numbers_record_0040,個人成績,41,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,24.0,24,ワンマッチ,カーボン・ブラッセル,,,,⚪︎,win,1R TKO(左ハイ→左フック→パウンド®️)
numbers_record_0041,個人成績,42,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,25.0,25,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚪︎,win,3R KO(パンチ連打)
numbers_record_0042,個人成績,43,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,27.0,27,ワンマッチ,ギタミン・アーロン,numbers_fighter_069,gitamin_aaron,gitamin_aaron,⚫︎,loss,3R 判定0-3
numbers_record_0043,個人成績,44,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MAXバウト,max_bout,第5回 1回戦A,第5回 1回戦A,トーナメント,おとさわ,numbers_fighter_071,otosawa,otosawa,⚪︎,win,"3R 3:04 KO(左ハイ→パウンド)
二回戦進出"
numbers_record_0044,個人成績,45,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MAXバウト,max_bout,第5回 2回戦B,第5回 2回戦B,トーナメント,かべい,numbers_fighter_068,kabei,kabei,⚪︎,win,"3R 判定2-1
準決勝進出"
numbers_record_0045,個人成績,46,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MAXバウト,max_bout,第5回 準決勝,第5回 準決勝,トーナメント,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,"2R 0:58 KO(肘打ち)
準決勝敗退"
numbers_record_0046,個人成績,47,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,31.0,31,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚪︎,win,2R 3:18 KO(パウンド)
numbers_record_0047,個人成績,48,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,34.0,34,ワンマッチ,ライン・デュオ,numbers_fighter_005,fighter_392d495da8,fighter_392d495da8,⚫︎,loss,3R 判定1-2
numbers_record_0048,個人成績,49,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,36.0,36,ワンマッチ,ヘル・ラッサー,numbers_fighter_010,fighter_8d86ebfe6f,fighter_8d86ebfe6f,⚪︎,win,3R 3:13 KO(左ハイ)
numbers_record_0049,個人成績,50,numbers_fighter_008,ゼット,fighter_e15b590179,fighter_e15b590179,,MH,mh,37.0,37,タイトル,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚪︎,win,"2R 1:53 KO(パンチ連打)
初代MHミドル級王者テール・ジャンクが返上
第2代MHミドル級王座戴冠"
numbers_record_0050,個人成績,51,numbers_fighter_009,トワックデビル,,トワックデビル,ミドル,MH,mh,23.0,23,ワンマッチ,オーシューデーモン,numbers_fighter_017,fighter_452ac4db9c,fighter_452ac4db9c,⚫︎,loss,1R 終了ドクターストップTKO
numbers_record_0051,個人成績,52,numbers_fighter_009,トワックデビル,,トワックデビル,,MH,mh,26.0,26,ワンマッチ,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚫︎,loss,3R 判定2-1
numbers_record_0052,個人成績,53,numbers_fighter_009,トワックデビル,,トワックデビル,,MH,mh,37.0,37,ワンマッチ,ラドフ,numbers_fighter_007,fighter_169d4ecfe8,fighter_169d4ecfe8,⚫︎,loss,1R 2:22 KO(左ボディ→パウンド)
numbers_record_0053,個人成績,54,numbers_fighter_009,トワックデビル,,トワックデビル,,MH,mh,40.0,40,ワンマッチ,ローリングJr,numbers_fighter_003,,jr,⚪︎,win,2R 1:42 トライアングルチョーク
numbers_record_0054,個人成績,55,numbers_fighter_010,ヘル・ラッサー,fighter_8d86ebfe6f,fighter_8d86ebfe6f,ミドル,MAXバウト,max_bout,第5回 1回戦A,第5回 1回戦A,トーナメント,ミサ・ウィル・ジョー,numbers_fighter_038,misa_will_joe,misa_will_joe,⚫︎,loss,"3R 判定0-3
一回戦敗退"
numbers_record_0055,個人成績,56,numbers_fighter_010,ヘル・ラッサー,fighter_8d86ebfe6f,fighter_8d86ebfe6f,,MH,mh,29.0,29,タイトル,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,"1R 1:50 KO(左ボディ→パウンド)
王座挑戦失敗"
numbers_record_0056,個人成績,57,numbers_fighter_010,ヘル・ラッサー,fighter_8d86ebfe6f,fighter_8d86ebfe6f,,MH,mh,36.0,36,ワンマッチ,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚫︎,loss,3R 3:13 KO(左ハイ)
numbers_record_0057,個人成績,58,numbers_fighter_010,ヘル・ラッサー,fighter_8d86ebfe6f,fighter_8d86ebfe6f,,MH,mh,39.0,39,ワンマッチ,トルー・パルドレス,numbers_fighter_012,fighter_23a078dc11,fighter_23a078dc11,⚪︎,win,3R 4:28 KO(左フック→パウンド)
numbers_record_0058,個人成績,59,numbers_fighter_010,ヘル・ラッサー,fighter_8d86ebfe6f,fighter_8d86ebfe6f,,MH,mh,40.0,40,ワンマッチ,タイプ・ジー,numbers_fighter_101,fighter_cc477f9dcf,fighter_cc477f9dcf,⚫︎,loss,1R 1:35 KO(パウンド連打®️)
numbers_record_0059,個人成績,60,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MH,mh,22.0,22,タイトル,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚪︎,win,"1R KO(エルボー)
3度目の防衛"
numbers_record_0060,個人成績,61,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MH,mh,26.0,26,タイトル,トルー・パルドレス,numbers_fighter_012,fighter_23a078dc11,fighter_23a078dc11,⚪︎,win,"1R 0:56 TKO(肘打ち→パウンド®️)
4度目の防衛"
numbers_record_0061,個人成績,62,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MH,mh,27.0,27,ノンタイトル,ライン・デュオ,numbers_fighter_005,fighter_392d495da8,fighter_392d495da8,⚪︎,win,1R 2:12 フロントネックロック
numbers_record_0062,個人成績,63,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MAXバウト,max_bout,第5回 1回戦B,第5回 1回戦B,トーナメント,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚪︎,win,"1R 0:38 KO(左フック→肘打ち→パウンド)
二回戦進出"
numbers_record_0063,個人成績,64,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MAXバウト,max_bout,第5回 2回戦B,第5回 2回戦B,トーナメント,ルージュド・スターリー,numbers_fighter_039,rouged_starry,rouged_starry,⚪︎,win,"2R 3:12 KO(バックスピンキック→パウンド)
準決勝進出"
numbers_record_0064,個人成績,65,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MAXバウト,max_bout,第5回 準決勝,第5回 準決勝,トーナメント,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚪︎,win,"2R 0:58 KO(肘打ち)
決勝進出"
numbers_record_0065,個人成績,66,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MAXバウト,max_bout,第5回 決勝,第5回 決勝,トーナメント,ミサ・ウィル・ジョー,numbers_fighter_038,misa_will_joe,misa_will_joe,⚪︎,win,"1R 3:47 KO(スタンドパンチ連打→膝蹴り)
第5回MAXバウトミドル級トーナメント優勝"
numbers_record_0066,個人成績,67,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ミドル,MH,mh,29.0,29,タイトル,ヘル・ラッサー,numbers_fighter_010,fighter_8d86ebfe6f,fighter_8d86ebfe6f,⚪︎,win,"1R 1:50 KO(左ボディ→パウンド)
5度目の防衛"
numbers_record_0067,個人成績,68,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ヘビー,MH,mh,34.0,34,ワンマッチ,クーラー・ジョイントン,,,,⚪︎,win,"1R 3:25 KO(左アッパー→パウンド)
ヘビー級デビュー戦"
numbers_record_0068,個人成績,69,numbers_fighter_011,テール・ジャンク,tail_junk,tail_junk,ヘビー,MAXバウト,max_bout,SP,SP,ワンマッチ,タイプ・ジー,numbers_fighter_101,fighter_cc477f9dcf,fighter_cc477f9dcf,⚫︎,loss,"3R 判定0-3
ヘビー級98kg契約(キャッチウェイト)"
numbers_record_0069,個人成績,70,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,ミドル,MH,mh,22.0,22,ワンマッチ,レッグ・デージャン,,,,⚪︎,win,"3R 腕ひしぎ十字固め
メジャーデビュー戦"
numbers_record_0070,個人成績,71,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,23.0,23,ワンマッチ,カットマン,,,,⚪︎,win,1R 腕ひしぎ十字固め
numbers_record_0071,個人成績,72,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,24.0,24,ワンマッチ,オーシューデーモン,numbers_fighter_017,fighter_452ac4db9c,fighter_452ac4db9c,⚪︎,win,1R ヒールホールド
numbers_record_0072,個人成績,73,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,25.0,25,ワンマッチ,カーボン・ブラッセル,,,,⚪︎,win,1R 1:50(三角絞め)
numbers_record_0073,個人成績,74,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,26.0,26,ワンマッチ,テール・ジャンク,numbers_fighter_011,tail_junk,tail_junk,⚫︎,loss,1R 0:56 TKO(肘打ち→パウンド®️)
numbers_record_0074,個人成績,75,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,27.0,27,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚫︎,loss,1R 0:39 TKO(跳び膝蹴り→パウンド)
numbers_record_0075,個人成績,76,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MAXバウト,max_bout,第5回 1回戦B,第5回 1回戦B,トーナメント,ダイス・ヴォルケード,numbers_fighter_042,fighter_5d7998006d,fighter_5d7998006d,⚫︎,loss,"2R 1:57 KO(左ハイ)
一回戦敗退"
numbers_record_0076,個人成績,77,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,30.0,30,ワンマッチ,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚫︎,loss,3R 判定1-2
numbers_record_0077,個人成績,78,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,36.0,36,ワンマッチ,オーシューワイルド,numbers_fighter_004,fighter_5f53eea569,fighter_5f53eea569,⚫︎,loss,1R 3:54 KO(左フック→パウンド)
numbers_record_0078,個人成績,79,numbers_fighter_012,トルー・パルドレス,fighter_23a078dc11,fighter_23a078dc11,,MH,mh,39.0,39,ワンマッチ,ヘル・ラッサー,numbers_fighter_010,fighter_8d86ebfe6f,fighter_8d86ebfe6f,⚫︎,loss,3R 4:28 KO(左フック→パウンド)
numbers_record_0079,個人成績,80,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,ミドル,MH,mh,23.0,23,ワンマッチ,ギタミン・アーロン,numbers_fighter_069,gitamin_aaron,gitamin_aaron,⚫︎,loss,3R 判定0-3
numbers_record_0080,個人成績,81,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,25.0,25,ワンマッチ,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚫︎,loss,3R KO(パンチ連打)
numbers_record_0081,個人成績,82,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,27.0,27,ワンマッチ,トルー・パルドレス,numbers_fighter_012,fighter_23a078dc11,fighter_23a078dc11,⚪︎,win,1R 0:39 TKO(跳び膝蹴り→パウンド)
numbers_record_0082,個人成績,83,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MAXバウト,max_bout,第5回 1回戦B,第5回 1回戦B,トーナメント,ギタミン・アーロン,numbers_fighter_069,gitamin_aaron,gitamin_aaron,⚪︎,win,"2R 0:28 KO(バックハンドブロー→パウンド)
二回戦進出"
numbers_record_0083,個人成績,84,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MAXバウト,max_bout,第5回 2回戦A,第5回 2回戦A,トーナメント,さかえだ,numbers_fighter_041,sakaeda,sakaeda,⚫︎,loss,"1R 2:14 チョークスリーパー
二回戦敗退"
numbers_record_0084,個人成績,85,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,31.0,31,ワンマッチ,ゼット,numbers_fighter_008,fighter_e15b590179,fighter_e15b590179,⚫︎,loss,2R 3:18 KO(パウンド)
numbers_record_0085,個人成績,86,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,33.0,33,ワンマッチ,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚫︎,loss,2R 3:46 KO(左フック→右ジャブ→パウンド)
numbers_record_0086,個人成績,87,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,35.0,35,ワンマッチ,おおわださーべる,numbers_fighter_016,fighter_abca156858,fighter_abca156858,⚪︎,win,1R 2:26 KO(左フック→パウンド)
numbers_record_0087,個人成績,88,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,37.0,37,ワンマッチ,オーシューワイルド,numbers_fighter_004,fighter_5f53eea569,fighter_5f53eea569,⚫︎,loss,3R 2:55 KO(左アッパー→パウンド)
numbers_record_0088,個人成績,89,numbers_fighter_013,クロノ・マリーケン,fighter_d9983ebeb3,fighter_d9983ebeb3,,MH,mh,39.0,39,ワンマッチ,ライン・デュオ,numbers_fighter_005,fighter_392d495da8,fighter_392d495da8,⚫︎,loss,1R 1:02 KO(左ストレート→パウンド)
numbers_record_0089,個人成績,90,numbers_fighter_014,シェーン・ロブソン,fighter_24e2dfb4f3,fighter_24e2dfb4f3,ミドル,MH,mh,36.0,36,ワンマッチ,ラドフ,numbers_fighter_007,fighter_169d4ecfe8,fighter_169d4ecfe8,⚫︎,loss,"1R 1:20 KO(左フック)
メジャーデビュー戦"
numbers_record_0090,個人成績,91,numbers_fighter_015,あかそ,fighter_ffbd00f5ab,fighter_ffbd00f5ab,ミドル,MH,mh,35.0,35,ワンマッチ,らんちゃーすがや,numbers_fighter_001,rancher_sugaya,rancher_sugaya,⚫︎,loss,"1R 4:19 KO(左フック)
メジャーデビュー戦
「あかそ じんた→あかそ」に登録名変更"
numbers_record_0091,個人成績,92,numbers_fighter_016,おおわださーべる,fighter_abca156858,fighter_abca156858,ミドル,MH,mh,35.0,35,ワンマッチ,クロノ・マリーケン,numbers_fighter_013,fighter_d9983ebeb3,fighter_d9983ebeb3,⚫︎,loss,"1R 2:26 KO(左フック→パウンド)
メジャーデビュー戦"
numbers_record_0092,個人成績,93,numbers_fighter_017,オーシューデーモン,fighter_452ac4db9c,fighter_452ac4db9c,ミドル,MH,mh,22.0,22,ワンマッチ,エレミー・ニッカ,,,,⚪︎,win,1R KO(左フック)
numbers_record_0093,個人成績,94,numbers_fighter_017,オーシューデーモン,fighter_452ac4db9c,fighter_452ac4db9c,,MH,mh,23.0,23,ワンマッチ,トワックデビル,numbers_fighter_009,,トワックデビル,⚪︎,win,1R 終了ドクターストップTKO
