bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,fighter_a_id,fighter_a,fighter_a_corner,fighter_b_id,fighter_b,fighter_b_corner,winner_id,winner,loser_id,loser,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,source_article_id,notes,result_status,inferred_from_video_id,inferred_from_video_title,inferred_confidence
max-bout-unknown-special-one-match-lzu1p7ujdos,max-bout-unknown-special-one-match,max_bout,4,,,special_one_match,tail_junk,テール・ジャンク,,fighter_cc477f9dcf,タイプ・ジー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_lzu1p7ujdos,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！テール・ジャンクvsタイプ・ジー,medium
max-bout-unknown-special-one-match-cgzqssiwtgw,max-bout-unknown-special-one-match,max_bout,3,,,special_one_match,fighter_5d7998006d,ダイス・ヴォルケード,,fighter_392d495da8,ライン・デュオ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_cgzqssiwtgw,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！ダイス・ヴォルケードvsライン・デュオ,medium
max-bout-unknown-special-one-match-7jwrin5qehm,max-bout-unknown-special-one-match,max_bout,2,,,special_one_match,kabei,かべい,,sakaeda,さかえだ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_7jwrin5qehm,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！かべいvsさかえだ,medium
max-bout-unknown-special-one-match-vbacvhixam4,max-bout-unknown-special-one-match,max_bout,1,,,special_one_match,otosawa,おとさわ,,rancher_sugaya,らんちゃーすがや,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_vbacvhixam4,【概要欄見て】MAXバウトスペシャルワンマッチ大会見どころ動画！おとさわvsらんちゃーすがや,medium
max-bout-7-lightweight-gp-eddeflnklfy,max-bout-7-lightweight-gp,max_bout,4,ライト級,lightweight,tournament_bout,colt_apro,コルト・アプロー,,daina,だいな,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_eddeflnklfy,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第四試合］コルト・アプローvsだいなの見どころ動画,high
max-bout-7-lightweight-gp-zoa9z26fng0,max-bout-7-lightweight-gp,max_bout,3,ライト級,lightweight,tournament_bout,kuwashio,くわしお,,blue_one,ブルーワン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_zoa9z26fng0,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第二試合］くわしおvsブルーワンの見どころ動画,high
max-bout-7-lightweight-gp-pujzpgtph2w,max-bout-7-lightweight-gp,max_bout,2,ライト級,lightweight,tournament_bout,tsukurihara,つくりはら,,fighter_30b7a4a468,ステシエン・チェット,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_pujzpgtph2w,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第三試合］つくりはらvsステシエン・チェットの見どころ動画,high
max-bout-7-lightweight-gp-yliawvelzbm,max-bout-7-lightweight-gp,max_bout,1,ライト級,lightweight,tournament_bout,lander_devil,ランダーデビル,,fighter_a5b1c7ad26,キマイラ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_yliawvelzbm,【概要欄絶対に見て】第7回MAXバウトライト級GP［Aブロック第一試合］ランダーデビルvsキマイラの見どころ動画,high
max-bout-unknown-lightweight-tournament-574ikyazfj4,max-bout-unknown-lightweight-tournament,max_bout,5,ライト級,lightweight,one_match,marco_fraser,マルコ・フレイザー,,fighter_25fddbaacc,ダブド・ガブリシャン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_574ikyazfj4,【マルコ・フレイザーvsダブド・ガブリシャン】MAXバウトライト級スペシャルワンマッチ【クロコップ荒木の実況付き】フルファイト！！,medium
max-bout-unknown-lightweight-tournament-f1u0bfqhu9o,max-bout-unknown-lightweight-tournament,max_bout,4,ライト級,lightweight,one_match,lander_devil,ランダーデビル,,waku,わく,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_f1u0bfqhu9o,【ランダーデビルvsわく】MAXバウトライト級スペシャルワンマッチ（クロコップ荒木の実況付き）フルファイト！！,medium
max-bout-unknown-lightweight-tournament-ooihz_c01e0,max-bout-unknown-lightweight-tournament,max_bout,3,ライト級,lightweight,one_match,kitamura,きたむら,,sangoku,さんごく,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ooihz_c01e0,【きたむらvsさんごく】MAXバウトライト級スペシャルワンマッチ（クロコップ荒木の実況付き）フルファイト！！,medium
mh-37-n9hp48kuqp4,mh-37,mh,1,ミドル級,middleweight,video_catalog_bout,fighter_d9983ebeb3,クロノ・マリーケン,,fighter_5f53eea569,オーシューワイルド,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_n9hp48kuqp4,【煽りのみ】クロノ・マリーケンvsオーシューワイルド　マウンテン・ヒーローズNo.37 ミドル級ワンマッチ,high
max-bout-unknown-lightweight-tournament-bacmlios1i8,max-bout-unknown-lightweight-tournament,max_bout,2,ライト級,lightweight,one_match,colt_apro,コルト・アプロー,,tsukurihara,つくりはら,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_bacmlios1i8,【コルト・アプローvsつくりはら】MAXバウトライト級スペシャルワンマッチ 【クロコップ荒木の実況付き】フルファイト！！,medium
max-bout-unknown-lightweight-tournament-qtswvquloji,max-bout-unknown-lightweight-tournament,max_bout,1,ライト級,lightweight,one_match,blue_one,ブルーワン,,fighter_82d519db98,イスカン・アステ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_qtswvquloji,【ブルーワンvsイスカン・アステ】MAXバウトライト級スペシャルワンマッチ （クロコップ荒木の実況付き）フルファイト！！,medium
target-14-d6tuqnfvmhy,target-14,target,1,,,preview_card,rancher_sugaya,らんちゃーすがや,,fighter_ffbd00f5ab,あかそ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_d6tuqnfvmhy,11月30日（土）アラカクライブNo.14あります！！＊概要欄チェック！！！【らんちゃーすがやvsあかそ見どころ動画】,medium
target-100-4rgh2fs6rp8,target-100,target,2,ライト級,lightweight,title_match,waku,わく,,tsukurihara,つくりはら,,,,,,,,,,,,true,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_4rgh2fs6rp8,【煽りＶのみ】わくvsつくりはら ターゲットNo.100 ライト級タイトルマッチ,high
target-100-1ptbs6ropuq,target-100,target,1,ミドル級,middleweight,title_match,kabei,かべい,,gitamin_aaron,ギタミン・アーロン,,,,,,,,,,,,true,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_1ptbs6ropuq,【煽りＶのみ】かべいvsギタミン・アーロン ターゲットNo.100 ミドル級タイトルマッチ,high
target-98-bniqjtmfayw,target-98,target,1,ライト級,lightweight,one_match,frahm_gran,フラーム・グラン,,daina,だいな,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_bniqjtmfayw,【煽りＶ】フラーム・グランvsだいな ターゲットNo.98 ライト級ワンマッチ,high
video-catalog-54kwdqyjoa8-54kwdqyjoa8,video-catalog-54kwdqyjoa8,video_catalog,1,,,video_catalog_bout,marco_fraser,マルコ・フレイザー,,blue_one,ブルーワン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_54kwdqyjoa8,【煽り映像】マルコ・フレイザーvsブルーワン,low
video-catalog-f93bk3gibcq-f93bk3gibcq,video-catalog-f93bk3gibcq,video_catalog,1,,,video_catalog_bout,fighter_b23cf227ff,ダートソン,,fighter_e590e4eb0f,アトゥリうえはら,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_f93bk3gibcq,【煽り映像】ダートソンvsアトゥリうえはら,low
target-90-2mm9_kcrsfu,target-90,target,1,ミドル級,middleweight,one_match,kintoki,きんとき,,otosawa,おとさわ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_2mm9_kcrsfu,【煽りのみ】きんときvsおとさわ　ターゲットNo.90 ミドル級ワンマッチ,high
mh-29-qfiwnhcogvu,mh-29,mh,1,ミドル級,middleweight,title_match,fighter_8d86ebfe6f,ヘル・ラッサー,,tail_junk,テール・ジャンク,,,,,,,,,,,,true,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_qfiwnhcogvu,【煽り】ヘル・ラッサーvsテール・ジャンク マウンテンヒーローズNo.29ミドル級タイトルマッチ,high
target-96-jby8vkzyuys,target-96,target,1,ライト級,lightweight,one_match,daina,だいな,,tsuoshi,つおし,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_jby8vkzyuys,【煽り】だいなvsつおし ターゲットNo.96 ライト級ワンマッチ,high
target-87-foh5vctjij4,target-87,target,1,ミドル級,middleweight,title_match,otosawa,おとさわ,,kabei,かべい,,,,,,,,,,,,true,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_foh5vctjij4,【煽り】おとさわvsかべい ターゲットNo.87 ターゲットミドル級王座決定戦,high
emperor-118-bvtj1lsfwz4,emperor-118,emperor,1,ミドル級,middleweight,one_match,no_118,エンペラーNo.118 ミドル級ワンマッチ ルージュド・スターリー,,fighter_578e54d009,アマルド・ビュエーラ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_bvtj1lsfwz4,【煽りVのみ】エンペラーNo.118 ミドル級ワンマッチ　ルージュド・スターリーvsアマルド・ビュエーラ,high
max-bout-6-lightweight-tournament-ifu9zhhjmzi,max-bout-6-lightweight-tournament,max_bout,19,ライト級,lightweight,tournament_bout,fighter_3b93aaef4c,試合前インタビュー マルコ・フレイザー,,fighter_6579bb563a,ランダーデビル 第６回,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ifu9zhhjmzi,試合前インタビュー　マルコ・フレイザー vsランダーデビル　第６回MAXバウトライト級トーナメント２回戦第一試合,high
max-bout-6-lightweight-tournament-a8qhaua4i1g,max-bout-6-lightweight-tournament,max_bout,18,ライト級,lightweight,tournament_bout,fighter_a20697a85d,試合前インタビュー ブルーワン,,fighter_dc0d28e973,アイス・トロン 第６回,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_a8qhaua4i1g,試合前インタビュー　ブルーワンvsアイス・トロン　第６回MAXバウトライト級トーナメント２回戦第二試合,high
max-bout-6-lightweight-tournament-s99fvrs7evw,max-bout-6-lightweight-tournament,max_bout,17,ライト級,lightweight,tournament_bout,fighter_289c68dda1,試合前インタビュー コルト・アプロー,,fighter_3ce17be3cd,フラーム・グラン 第６回,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_s99fvrs7evw,試合前インタビュー　コルト・アプローvsフラーム・グラン　第６回MAXバウトライト級トーナメント２回戦第四試合,high
max-bout-6-lightweight-tournament-pcudq7vtm_g,max-bout-6-lightweight-tournament,max_bout,16,ライト級,lightweight,tournament_bout,fighter_c5a0e29e83,試合前インタビュー わく,,fighter_01c8f1b9f0,ゆめろう 第６回,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_pcudq7vtm_g,試合前インタビュー　わくvsゆめろう　第６回MAXバウトライト級トーナメント２回戦第三試合,high
max-bout-unknown-middleweight-special-bompcnznx34,max-bout-unknown-middleweight-special,max_bout,5,ミドル級,middleweight,special_one_match,misa_will_joe,ミサ・ウィル・ジョー,,rouged_starry,ルージュド・スターリー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_bompcnznx34,ミサ・ウィル・ジョーvsルージュド・スターリー【フルファイト！MAXバウトミドル級スペシャルワンマッチ】,medium
max-bout-unknown-middleweight-special-tuog5suk_fo,max-bout-unknown-middleweight-special,max_bout,4,ミドル級,middleweight,special_one_match,tail_junk,テール・ジャンク,,fighter_cc477f9dcf,タイプ・ジー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_tuog5suk_fo,テール・ジャンクvs タイプ・ジー【フルファイト！MAXバウトミドル級スペシャルワンマッチ】,medium
max-bout-unknown-middleweight-special-4cbcymly7ma,max-bout-unknown-middleweight-special,max_bout,3,ミドル級,middleweight,special_one_match,fighter_5d7998006d,ダイス・ヴォルケード,,fighter_392d495da8,ライン・デュオ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_4cbcymly7ma,ダイス・ヴォルケードvs ライン・デュオ【フルファイト！MAXバウトミドル級スペシャルワンマッチ】,medium
max-bout-unknown-middleweight-special-siibzv70fww,max-bout-unknown-middleweight-special,max_bout,2,ミドル級,middleweight,special_one_match,kabei,かべい,,sakaeda,さかえだ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_siibzv70fww,かべいvsさかえだ【フルファイト！MAXバウトミドル級スペシャルワンマッチ】,medium
max-bout-unknown-middleweight-special-opylhps0jq0,max-bout-unknown-middleweight-special,max_bout,1,ミドル級,middleweight,special_one_match,otosawa,おとさわ,,rancher_sugaya,らんちゃーすがや,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_opylhps0jq0,おとさわvs らんちゃーすがや【フルファイト！MAXバウトミドル級スペシャルワンマッチ】,medium
emperor-110-lp2btuxgjiy,emperor-110,emperor,1,ミドル級,middleweight,one_match,fighter_b23cf227ff,ダートソン,,fighter_32d0d719ec,レイ・ガシーオ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_lp2btuxgjiy,【エンペラー公式ルールは概要欄】フルファイト！ダートソンvsレイ・ガシーオ エンペラーNo.110 ミドル級ワンマッチ,high
mh-38-nm0ig9mdpi,mh-38,mh,3,ミドル級,middleweight,title_match,zett,Zett,,rancher_sugaya,らんちゃーすがや,,,,,,,,,,,,true,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_nm0ig9mdpi,【ゼットvsらんちゃーすがや】マウンテン・ヒーローズNo.38ミドル級王座決定戦（クロコップ荒木の実況付きフルファイト！！）,high
target-101-vplbxarc3pc,target-101,target,4,,,video_catalog_bout,gitamin_aaron,ギタミン・アーロン,,otosawa,おとさわ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_vplbxarc3pc,【煽り＆クロコップ荒木の実況付き】フルファイト！ギタミン・アーロンvsおとさわ ターゲットNo.101 ミドル級タイトルマッチ,high
mh-40-ggjctmt9cfi,mh-40,mh,4,ミドル級,middleweight,one_match,fighter_cc477f9dcf,タイプ・ジー,,fighter_8d86ebfe6f,ヘル・ラッサー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ggjctmt9cfi,【タイプ・ジーvsヘル・ラッサー】フルファイト！マウンテン・ヒーローズNo.40ミドル級ワンマッチ,high
emperor-120-dxknai8nu0k,emperor-120,emperor,4,ミドル級,middleweight,one_match,fighter_cc477f9dcf,タイプ・ジー,,fighter_b9115f2d71,チャールス・ブランディン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_dxknai8nu0k,【タイプ・ジーvsチャールス・ブランディン】煽り付きフルファイト！エンペラーNo.120ミドル級ワンマッチ,high
mh-39-zvs_zboqwzm,mh-39,mh,4,ミドル級,middleweight,video_catalog_bout,fighter_23a078dc11,トルー・パルドレス,,fighter_8d86ebfe6f,ヘル・ラッサー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_zvs_zboqwzm,【トルー・パルドレスvsヘル・ラッサー】フルファイト！マウンテン・ヒーローズNo.39ミドル級ワンマッチ,high
emperor-120-wgbrpkw3_u,emperor-120,emperor,3,ライト級,lightweight,one_match,fighter_30b7a4a468,ステシエン・チェット,,fighter_8e8b526dc1,ルーペデビル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_wgbrpkw3_u,【ステシエン・チェットvsループデビル】フルファイト！エンペラーNo.120ライト級ワンマッチ,high
target-102-rqenv8yfeci,target-102,target,5,ミドル級,middleweight,video_catalog_bout,fighter_31e0efe5d2,シガー・ユーナイム,,zamon,ザモン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_rqenv8yfeci,【シガー・ユーナイムvsザモン】フルファイト！ターゲットNo.102 ミドル級ワンマッチ,high
target-102-48v5jmjeu1e,target-102,target,4,ミドル級,middleweight,video_catalog_bout,fighter_a850bd04f1,サム・ラッシュ,,washikaga,わしかが,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_48v5jmjeu1e,【サム・ラッシュvsわしかが】フルファイト！ターゲットNo.102 ミドル級ワンマッチ,high
emperor-119-fuaaxecs6he,emperor-119,emperor,4,ミドル級,middleweight,one_match,sakurai,さくらい,,fighter_32d0d719ec,レイ・ガシーオ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_fuaaxecs6he,【さくらいvsレイ・ガシーオ】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-119-wae2pl4rfdw,emperor-119,emperor,3,ミドル級,middleweight,video_catalog_bout,sakaeda,さかえだ,,rouged_starry,ルージュド・スターリー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_wae2pl4rfdw,【さかえだvsルージュド・スターリー】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-120-gencjoexft8,emperor-120,emperor,2,ミドル級,middleweight,one_match,fighter_3c507e2d6d,エス・ガリオン,,fighter_1eccfcf027,ロン,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_gencjoexft8,【エス・ガリオンvsロン】フルファイト！エンペラーNo.120ミドル級ワンマッチ,high
mh-40-bujuelt6hfo,mh-40,mh,3,ミドル級,middleweight,one_match,rolling_jr,ローリングジュニア,,fighter_0f7f08df67,トゥワックデビル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_bujuelt6hfo,【ローリングジュニアvsトワックデビル】フルファイト！マウンテン・ヒーローズNo.40ミドル級ワンマッチ,high
mh-38-3jbgtu_pkeu,mh-38,mh,2,ミドル級,middleweight,video_catalog_bout,rolling_jr,ローリングジュニア,,python_hayashi,ぱいそんはやし,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_3jbgtu_pkeu,【ローリングジュニアvsぱいそんはやし】マウンテン・ヒーローズNo.38ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
mh-38-htdjihj6z_q,mh-38,mh,1,ミドル級,middleweight,video_catalog_bout,fighter_169d4ecfe8,ラドフ,,fighter_5f53eea569,オーシューワイルド,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_htdjihj6z_q,【ラドフvsオーシューワイルド】マウンテン・ヒーローズNo.38ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
mh-39-sgrylfsil_w,mh-39,mh,3,ミドル級,middleweight,video_catalog_bout,python_hayashi,ぱいそんはやし,,fighter_41a3b1ba33,ジャニマード・トスパチ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_sgrylfsil_w,【ぱいそんはやしvsジャニマード・トスパチ】フルファイト！マウンテン・ヒーローズNo.39ミドル級ワンマッチ,high
target-103-vdb8qzkxcy,target-103,target,9,ミドル級,middleweight,one_match,otosawa,おとさわ,,aurora_devil,オーロラデビル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_vdb8qzkxcy,【おとさわvsオーロラデビル】フルファイト！ターゲットNo.103ミドル級ワンマッチ,high
mh-40-an7ejcpbbhs,mh-40,mh,2,ミドル級,middleweight,one_match,fighter_5f53eea569,オーシューワイルド,,python_hayashi,ぱいそんはやし,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_an7ejcpbbhs,【オーシューワイルドvsぱいそんはやし】フルファイト！マウンテン・ヒーローズNo.40ミドル級ワンマッチ,high
emperor-120-ifz9rupnazm,emperor-120,emperor,1,ミドル級,middleweight,one_match,misa_will_joe,ミサ・ウィル・ジョー,,fighter_808e183fda,ブレード・アロー,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ifz9rupnazm,【ミサ・ウィル・ジョーvsブレード・アロー】煽り付きフルファイト！エンペラーNo.120ミドル級ワンマッチ,high
target-102-ephgtzg6nfs,target-102,target,3,ミドル級,middleweight,video_catalog_bout,fighter_e9d2feca82,ミハエル・ボタルニカ,,aurora_devil,オーロラデビル,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_ephgtzg6nfs,【ミハエル・ボタルニカvsオーロラデビル】フルファイト！ターゲットNo.102 ミドル級ワンマッチ,high
mh-40-aez1_3vh9dm,mh-40,mh,1,ミドル級,middleweight,one_match,fighter_392d495da8,ライン・デュオ,,fighter_41a3b1ba33,ジャニマード・トスパチ,,,,,,,,,,,,false,,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,unknown,youtube_aez1_3vh9dm,【ライン・デュオvsジャニマード・トスパチ】フルファイト！マウンテン・ヒーローズNo.40ミドル級ワンマッチ,high
